CustomerID,Lookalikes
C0001,"[('C0164', 0.9997395432420614), ('C0069', 0.9995485748648986), ('C0182', 0.9984344198776596)]"
C0002,"[('C0029', 0.9999722492033886), ('C0151', 0.9900187859225765), ('C0060', 0.9878817287960274)]"
C0003,"[('C0025', 0.9985885468632715), ('C0035', 0.9933262564278384), ('C0190', 0.9874753254998447)]"
C0004,"[('C0161', 0.9999031843461721), ('C0147', 0.9998564172089875), ('C0194', 0.9977727482469245)]"
C0005,"[('C0128', 0.9997470995116761), ('C0120', 0.9991333172565582), ('C0186', 0.9853570794094049)]"
C0006,"[('C0044', 0.9942409204708046), ('C0185', 0.9915712016752645), ('C0074', 0.9898911702118662)]"
C0007,"[('C0133', 0.9984313631059354), ('C0092', 0.9935268303853378), ('C0089', 0.9899657461503218)]"
C0008,"[('C0162', 0.9964502058087837), ('C0068', 0.9960332151235823), ('C0084', 0.9917059486849621)]"
C0009,"[('C0061', 0.9979399248340884), ('C0020', 0.9950331123027487), ('C0130', 0.991782856904647)]"
C0010,"[('C0134', 0.9745458275746828), ('C0111', 0.974470677069357), ('C0077', 0.9736548617957635)]"
C0011,"[('C0064', 0.999988693954047), ('C0137', 0.9999087278625741), ('C0171', 0.9994616090968912)]"
C0012,"[('C0124', 0.9991670743305264), ('C0181', 0.9929195008851237), ('C0045', 0.9881930807196214)]"
C0013,"[('C0054', 0.9862464681831772), ('C0099', 0.9847958614794641), ('C0188', 0.9807293421061212)]"
C0014,"[('C0097', 0.9979071017273393), ('C0112', 0.9953285289922931), ('C0095', 0.9915930537884768)]"
C0015,"[('C0117', 0.9960524545719733), ('C0135', 0.9939192933402766), ('C0131', 0.9910993230133474)]"
C0016,"[('C0096', 0.9194422031640018), ('C0103', 0.9030800837339552), ('C0187', 0.8884776215283494)]"
C0017,"[('C0075', 0.998190102626103), ('C0165', 0.9968632683410313), ('C0090', 0.9954103605922593)]"
C0018,"[('C0174', 0.9993545720458541), ('C0121', 0.9910293093133714), ('C0094', 0.9798822220795869)]"
C0019,"[('C0081', 0.9961267036550702), ('C0165', 0.9443458689839318), ('C0017', 0.9219486013435292)]"
C0020,"[('C0130', 0.9995301781787622), ('C0061', 0.9991659051656928), ('C0009', 0.9950331123027487)]"
